peer_name,lookup_time,message_size,peer_cycle_time
p03a,23167484.000000,1053554.000000,233126985.000000
p03a,38104065.000000,1053554.000000,234206884.000000
p03a,7026717.000000,1053554.000000,234834254.000000
p03a,16951064.000000,1053554.000000,234163184.000000
p03a,25466034.000000,1053554.000000,183885947.000000
p03a,5257880.000000,1053554.000000,237745437.000000
p03a,2040455.000000,1053554.000000,211276597.000000
p03a,24061235.000000,1053554.000000,208602153.000000
p03a,4913494.000000,1053554.000000,245425015.000000
p03a,19206132.000000,1053554.000000,223912563.000000
p02a,16823659.000000,1053554.000000,187756586.000000
p02a,15963866.000000,1053554.000000,189683415.000000
p02a,11775118.000000,1053554.000000,188439610.000000
p02a,17047681.000000,1053554.000000,165676161.000000
p02a,12051958.000000,1053554.000000,188667703.000000
p02a,15760805.000000,1053554.000000,165129842.000000
p02a,12677080.000000,1053554.000000,98102598.000000
p02a,16309379.000000,1053554.000000,83016061.000000
p02a,17628108.000000,1053554.000000,189241938.000000
p02a,16455757.000000,1053554.000000,153480561.000000
p09a,16977389.000000,1053554.000000,136609624.000000
p09a,8415886.000000,1053554.000000,98904863.000000
p09a,2079891.000000,1053554.000000,140773323.000000
p09a,6536668.000000,1053554.000000,130843184.000000
p09a,13170457.000000,1053554.000000,126493838.000000
p09a,1933813.000000,1053554.000000,146749245.000000
p09a,2975108.000000,1053554.000000,146732953.000000
p09a,12787980.000000,1053554.000000,119663553.000000
p09a,16536319.000000,1053554.000000,139728900.000000
p09a,6708798.000000,1053554.000000,149295517.000000
p06a,4976816.000000,1053554.000000,131378211.000000
p06a,2230814.000000,1053554.000000,115774659.000000
p06a,3042633.000000,1053554.000000,91942691.000000
p06a,2136668.000000,1053554.000000,131375034.000000
p06a,10537271.000000,1053554.000000,119798240.000000
p06a,18482589.000000,1053554.000000,132359740.000000
p06a,7512351.000000,1053554.000000,132870081.000000
p06a,3701008.000000,1053554.000000,133983095.000000
p06a,12663426.000000,1053554.000000,134209718.000000
p06a,8418583.000000,1053554.000000,114633317.000000
p05a,11456099.000000,1053554.000000,324571401.000000
p05a,11479741.000000,1053554.000000,328809794.000000
p05a,18689065.000000,1053554.000000,329386498.000000
p05a,11361020.000000,1053554.000000,337800974.000000
p05a,12199722.000000,1053554.000000,246725055.000000
p05a,25950124.000000,1053554.000000,283348565.000000
p05a,13976458.000000,1053554.000000,333789057.000000
p05a,12392135.000000,1053554.000000,332672260.000000
p05a,14915522.000000,1053554.000000,334766235.000000
p05a,13976124.000000,1053554.000000,329692959.000000
p04a,44486210.000000,1053554.000000,323891963.000000
p04a,13941458.000000,1053554.000000,345681991.000000
p04a,33820608.000000,1053554.000000,317092894.000000
p04a,54779376.000000,1053554.000000,281933046.000000
p04a,20850755.000000,1053554.000000,341938424.000000
p04a,9252295.000000,1053554.000000,372024772.000000
p04a,2659492.000000,1053554.000000,308650073.000000
p04a,23292367.000000,1053554.000000,366287217.000000
p04a,38517800.000000,1053554.000000,315388326.000000
p04a,3335792.000000,1053554.000000,63915502.000000
p01a,20533310.000000,1053554.000000,471651389.000000
p01a,119002763.000000,1053554.000000,449371134.000000
p01a,19877160.000000,1053554.000000,471563929.000000
p01a,15336482.000000,1053554.000000,467409564.000000
p01a,47214204.000000,1053554.000000,444232668.000000
p01a,40022079.000000,1053554.000000,487858609.000000
p01a,50870873.000000,1053554.000000,476672476.000000
p01a,43575467.000000,1053554.000000,473377258.000000
p01a,47283233.000000,1053554.000000,470798621.000000
p01a,47435020.000000,1053554.000000,464355998.000000
p07a,29596546.000000,1053554.000000,411532638.000000
p07a,16525292.000000,1053554.000000,441985032.000000
p07a,16526950.000000,1053554.000000,409515984.000000
p07a,271383843.000000,1053554.000000,305456972.000000
p07a,27946749.000000,1053554.000000,445667775.000000
p07a,29599143.000000,1053554.000000,395905078.000000
p07a,27793491.000000,1053554.000000,400341252.000000
p07a,22929272.000000,1053554.000000,371154371.000000
p07a,9243411.000000,1053554.000000,403749462.000000
p07a,31096164.000000,1053554.000000,437061701.000000
p10a,79029532.000000,1053554.000000,462323393.000000
p10a,43437736.000000,1053554.000000,444451108.000000
p10a,64438341.000000,1053554.000000,485896785.000000
p10a,75422935.000000,1053554.000000,470657399.000000
p10a,63600029.000000,1053554.000000,477314950.000000
p10a,52218895.000000,1053554.000000,455488627.000000
p10a,63761569.000000,1053554.000000,472412872.000000
p10a,36827087.000000,1053554.000000,509121449.000000
p10a,108393626.000000,1053554.000000,463543326.000000
p10a,30516092.000000,1053554.000000,519691749.000000
p08a,32734306.000000,1053554.000000,183921930.000000
p08a,32975582.000000,1053554.000000,187693025.000000
p08a,72084250.000000,1053554.000000,172630817.000000
p08a,12046063.000000,1053554.000000,191098846.000000
p08a,34994471.000000,1053554.000000,167073378.000000
p08a,26725483.000000,1053554.000000,146819773.000000
p08a,14796332.000000,1053554.000000,166486599.000000
p08a,30018635.000000,1053554.000000,157411635.000000
p08a,29894598.000000,1053554.000000,158818495.000000
p08a,11579762.000000,1053554.000000,145277963.000000
