peer_name,lookup_time,message_size,peer_cycle_time
p04a,18606427.000000,923757.000000,249211980.000000
p04a,14974949.000000,923757.000000,233459516.000000
p04a,13752735.000000,923757.000000,197362149.000000
p04a,14843609.000000,923757.000000,187468584.000000
p04a,23946043.000000,923757.000000,243117307.000000
p04a,2892456.000000,923757.000000,248630703.000000
p04a,30008520.000000,923757.000000,262216217.000000
p04a,5406974.000000,923757.000000,248099103.000000
p04a,15694229.000000,923757.000000,232653577.000000
p04a,8078517.000000,923757.000000,272830539.000000
p10a,38548691.000000,923757.000000,211881949.000000
p10a,54049242.000000,923757.000000,208572527.000000
p10a,75564838.000000,923757.000000,137273747.000000
p10a,63060010.000000,923757.000000,165134458.000000
p10a,50603493.000000,923757.000000,166827019.000000
p10a,16888259.000000,923757.000000,195453141.000000
p10a,76504422.000000,923757.000000,135073591.000000
p10a,78710609.000000,923757.000000,144645599.000000
p10a,93041619.000000,923757.000000,151989728.000000
p10a,33260100.000000,923757.000000,193018675.000000
p06a,53949666.000000,923757.000000,121990076.000000
p06a,48727342.000000,923757.000000,139857674.000000
p06a,51959864.000000,923757.000000,151065175.000000
p06a,51617419.000000,923757.000000,118903903.000000
p06a,55557221.000000,923757.000000,139049678.000000
p06a,32644024.000000,923757.000000,161866295.000000
p06a,24962600.000000,923757.000000,156458666.000000
p06a,50892217.000000,923757.000000,133143037.000000
p06a,56182358.000000,923757.000000,129878408.000000
p06a,64091214.000000,923757.000000,104399008.000000
p01a,59041432.000000,923757.000000,57054406.000000
p01a,41482359.000000,923757.000000,101884596.000000
p01a,121325560.000000,923757.000000,93690773.000000
p01a,59495604.000000,923757.000000,90732291.000000
p01a,41277308.000000,923757.000000,82205888.000000
p01a,56971093.000000,923757.000000,103477273.000000
p01a,45716365.000000,923757.000000,91906937.000000
p01a,137933028.000000,923757.000000,76546216.000000
p01a,46596551.000000,923757.000000,133588008.000000
p01a,57902771.000000,923757.000000,117469295.000000
p08a,11485692.000000,923757.000000,250874441.000000
p08a,10327849.000000,923757.000000,265906579.000000
p08a,14174240.000000,923757.000000,281482431.000000
p08a,12771731.000000,923757.000000,298372633.000000
p08a,8445306.000000,923757.000000,223886961.000000
p09a,48811105.000000,923757.000000,356107808.000000
p07a,44445291.000000,923757.000000,204478352.000000
p07a,60516896.000000,923757.000000,252770711.000000
p09a,5874434.000000,923757.000000,357500027.000000
p07a,13098586.000000,923757.000000,254260811.000000
p07a,46432712.000000,923757.000000,176324642.000000
p07a,13384359.000000,923757.000000,237563756.000000
p07a,63993247.000000,923757.000000,203197169.000000
p07a,97681133.000000,923757.000000,179505297.000000
p07a,65046116.000000,923757.000000,202363173.000000
p08a,14533928.000000,923757.000000,312960779.000000
p07a,92272037.000000,923757.000000,204333598.000000
p07a,41316835.000000,923757.000000,250780532.000000
p09a,8370207.000000,923757.000000,412366952.000000
p09a,13567638.000000,923757.000000,403632574.000000
p09a,14939448.000000,923757.000000,408206180.000000
p09a,5685788.000000,923757.000000,420511866.000000
p09a,14430949.000000,923757.000000,415647936.000000
p09a,19040576.000000,923757.000000,422671890.000000
p08a,11496545.000000,923757.000000,344688451.000000
p08a,15697756.000000,923757.000000,324597108.000000
p08a,15959038.000000,923757.000000,316648368.000000
p09a,42941953.000000,923757.000000,401331371.000000
p08a,14535890.000000,923757.000000,337327693.000000
p09a,42045263.000000,923757.000000,400378069.000000
p02a,80890542.000000,923757.000000,256318037.000000
p02a,47414785.000000,923757.000000,321237100.000000
p02a,115665560.000000,923757.000000,273406728.000000
p02a,60340712.000000,923757.000000,313666041.000000
p02a,39576904.000000,923757.000000,283172632.000000
p02a,64950993.000000,923757.000000,320762637.000000
p02a,116075611.000000,923757.000000,310647852.000000
p02a,64686686.000000,923757.000000,358607315.000000
p02a,40205883.000000,923757.000000,260912701.000000
p02a,69978170.000000,923757.000000,317656171.000000
p05a,70124059.000000,923757.000000,109375964.000000
p05a,25872042.000000,923757.000000,90730636.000000
p05a,7020722.000000,923757.000000,157524269.000000
p05a,70589373.000000,923757.000000,93253352.000000
p05a,10293971.000000,923757.000000,99977970.000000
p05a,70799228.000000,923757.000000,91260502.000000
p05a,70932239.000000,923757.000000,97679565.000000
p05a,24137883.000000,923757.000000,159834461.000000
p05a,72895380.000000,923757.000000,90507178.000000
p05a,22733716.000000,923757.000000,97064940.000000
p03a,14018386.000000,923757.000000,142657560.000000
p03a,18202560.000000,923757.000000,122669530.000000
p03a,19863997.000000,923757.000000,146414894.000000
p03a,13573171.000000,923757.000000,127114758.000000
p03a,20041815.000000,923757.000000,137035630.000000
p03a,17887984.000000,923757.000000,148000424.000000
p03a,20696814.000000,923757.000000,152279503.000000
p03a,18866971.000000,923757.000000,124899143.000000
p03a,18065241.000000,923757.000000,152709947.000000
p03a,18982485.000000,923757.000000,152859723.000000
