peer_name,lookup_time,message_size,peer_cycle_time
p03a,32388030.000000,1982779.000000,454722941.000000
p03a,33134689.000000,1982779.000000,507760873.000000
p03a,24802222.000000,1982779.000000,537516771.000000
p03a,16175676.000000,1982779.000000,459967227.000000
p03a,34498664.000000,1982779.000000,519265106.000000
p03a,29415313.000000,1982779.000000,549346920.000000
p03a,28911874.000000,1982779.000000,565757818.000000
p03a,28298907.000000,1982779.000000,538542497.000000
p03a,15225663.000000,1982779.000000,558575182.000000
p03a,30565478.000000,1982779.000000,571662993.000000
p01a,99742957.000000,1982779.000000,412019742.000000
p01a,58406876.000000,1982779.000000,437219515.000000
p01a,91875146.000000,1982779.000000,429022009.000000
p01a,78272645.000000,1982779.000000,509974771.000000
p01a,82397159.000000,1982779.000000,477053649.000000
p01a,67611271.000000,1982779.000000,465578287.000000
p01a,52219208.000000,1982779.000000,508065632.000000
p01a,65434237.000000,1982779.000000,521373930.000000
p01a,62474543.000000,1982779.000000,533102756.000000
p10a,33214319.000000,1982779.000000,367673564.000000
p01a,70714910.000000,1982779.000000,606169722.000000
p10a,99032658.000000,1982779.000000,376131508.000000
p10a,42666820.000000,1982779.000000,352604661.000000
p10a,78801860.000000,1982779.000000,458122877.000000
p10a,91459129.000000,1982779.000000,380444977.000000
p10a,51221170.000000,1982779.000000,436280491.000000
p10a,57758174.000000,1982779.000000,417784956.000000
p10a,35609386.000000,1982779.000000,338518099.000000
p10a,93166203.000000,1982779.000000,394737798.000000
p10a,27981051.000000,1982779.000000,350526625.000000
p09a,20825693.000000,1982779.000000,317384606.000000
p09a,14797637.000000,1982779.000000,328709932.000000
p09a,142075616.000000,1982779.000000,214736387.000000
p09a,144561002.000000,1982779.000000,290178499.000000
p09a,87717315.000000,1982779.000000,314946105.000000
p09a,14314269.000000,1982779.000000,226471842.000000
p09a,52473611.000000,1982779.000000,268218801.000000
p09a,164205759.000000,1982779.000000,216120580.000000
p09a,14653207.000000,1982779.000000,279067836.000000
p09a,162575474.000000,1982779.000000,228105772.000000
p07a,38595695.000000,1982779.000000,88460784.000000
p07a,19285894.000000,1982779.000000,95922502.000000
p07a,32056068.000000,1982779.000000,130083811.000000
p07a,37617527.000000,1982779.000000,168688699.000000
p07a,34626633.000000,1982779.000000,109459581.000000
p07a,25599915.000000,1982779.000000,188145818.000000
p07a,38476530.000000,1982779.000000,126761972.000000
p07a,25838897.000000,1982779.000000,132336757.000000
p07a,36832312.000000,1982779.000000,156678659.000000
p07a,13168916.000000,1982779.000000,133473112.000000
p04a,12188436.000000,1982779.000000,164453179.000000
p04a,5436034.000000,1982779.000000,158646645.000000
p04a,8696808.000000,1982779.000000,142596149.000000
p04a,2029480.000000,1982779.000000,170628977.000000
p04a,10758169.000000,1982779.000000,174244471.000000
p04a,7665848.000000,1982779.000000,162382773.000000
p04a,4852688.000000,1982779.000000,156612670.000000
p04a,12279414.000000,1982779.000000,177130686.000000
p04a,12979439.000000,1982779.000000,169513947.000000
p04a,1786613.000000,1982779.000000,179023138.000000
p08a,33047261.000000,1982779.000000,339326168.000000
p08a,35129678.000000,1982779.000000,405469128.000000
p08a,38801387.000000,1982779.000000,416081929.000000
p08a,54390076.000000,1982779.000000,336834174.000000
p08a,47253795.000000,1982779.000000,329566813.000000
p08a,58765370.000000,1982779.000000,343919761.000000
p08a,27475978.000000,1982779.000000,337152817.000000
p08a,55786812.000000,1982779.000000,418557556.000000
p08a,45368076.000000,1982779.000000,431150019.000000
p08a,39715965.000000,1982779.000000,364883844.000000
p02a,15843682.000000,1982779.000000,413601037.000000
p02a,104409405.000000,1982779.000000,359051956.000000
p02a,112545449.000000,1982779.000000,329160071.000000
p02a,102678054.000000,1982779.000000,389600852.000000
p02a,21622783.000000,1982779.000000,376265346.000000
p02a,16492838.000000,1982779.000000,387729164.000000
p02a,18185140.000000,1982779.000000,397548846.000000
p02a,11068135.000000,1982779.000000,411361758.000000
p02a,10067094.000000,1982779.000000,444368242.000000
p02a,63853491.000000,1982779.000000,435178608.000000
p05a,172530643.000000,1982779.000000,376113867.000000
p05a,59064607.000000,1982779.000000,465238521.000000
p05a,37469187.000000,1982779.000000,447819444.000000
p05a,106750683.000000,1982779.000000,385082424.000000
p05a,155330364.000000,1982779.000000,398567344.000000
p05a,67733145.000000,1982779.000000,431005722.000000
p05a,71786628.000000,1982779.000000,321716321.000000
p05a,93767972.000000,1982779.000000,362503367.000000
p05a,100597411.000000,1982779.000000,382940512.000000
p05a,60268900.000000,1982779.000000,466010389.000000
p06a,11269966.000000,1982779.000000,352489519.000000
p06a,10598727.000000,1982779.000000,353957100.000000
p06a,47983636.000000,1982779.000000,367696622.000000
p06a,8422751.000000,1982779.000000,281628677.000000
p06a,15447406.000000,1982779.000000,370142519.000000
p06a,18881726.000000,1982779.000000,292227611.000000
p06a,18137838.000000,1982779.000000,282976571.000000
p06a,34438016.000000,1982779.000000,351106957.000000
p06a,11917590.000000,1982779.000000,300372800.000000
p06a,27082617.000000,1982779.000000,369593372.000000
