peer_name,lookup_time,message_size,peer_cycle_time
p02a,37493344.000000,15045.000000,26355112.000000
p02a,37922563.000000,15045.000000,27017313.000000
p02a,37171349.000000,15045.000000,26530053.000000
p02a,9377376.000000,15045.000000,55560667.000000
p02a,11457814.000000,15045.000000,51372440.000000
p02a,12664640.000000,15045.000000,54936740.000000
p02a,12977100.000000,15045.000000,34115585.000000
p02a,29052650.000000,15045.000000,35836043.000000
p02a,5777130.000000,15045.000000,32025675.000000
p02a,20458821.000000,15045.000000,36721777.000000
p09a,10670488.000000,15045.000000,37320290.000000
p09a,26325982.000000,15045.000000,33556241.000000
p09a,7459015.000000,15045.000000,24645505.000000
p09a,6844572.000000,15045.000000,40037306.000000
p09a,7476889.000000,15045.000000,37550127.000000
p09a,6830203.000000,15045.000000,37911250.000000
p09a,7859078.000000,15045.000000,36747322.000000
p09a,10403055.000000,15045.000000,42375943.000000
p09a,6802787.000000,15045.000000,40789751.000000
p09a,8224667.000000,15045.000000,35289310.000000
p03a,50029517.000000,15045.000000,13855232.000000
p03a,43047646.000000,15045.000000,12481971.000000
p03a,6197875.000000,15045.000000,49775851.000000
p03a,36257856.000000,15045.000000,23955529.000000
p03a,6355937.000000,15045.000000,43657173.000000
p03a,7123153.000000,15045.000000,58453199.000000
p03a,40842247.000000,15045.000000,21441599.000000
p03a,49051041.000000,15045.000000,22340263.000000
p03a,39987609.000000,15045.000000,38898284.000000
p03a,54678862.000000,15045.000000,13407314.000000
p01a,20949817.000000,15045.000000,14538245.000000
p01a,12653863.000000,15045.000000,33106814.000000
p01a,5344867.000000,15045.000000,48616147.000000
p01a,11857682.000000,15045.000000,49803647.000000
p01a,12497699.000000,15045.000000,42043871.000000
p01a,15709637.000000,15045.000000,50247858.000000
p01a,17838222.000000,15045.000000,50871778.000000
p01a,18508554.000000,15045.000000,51702552.000000
p01a,12070889.000000,15045.000000,49506931.000000
p01a,2313941.000000,15045.000000,50078580.000000
p06a,19312505.000000,15045.000000,22537254.000000
p06a,13231675.000000,15045.000000,14533900.000000
p06a,13252127.000000,15045.000000,11978679.000000
p06a,12760132.000000,15045.000000,22552527.000000
p06a,12751753.000000,15045.000000,26925787.000000
p06a,14606536.000000,15045.000000,10720344.000000
p06a,7948959.000000,15045.000000,17401350.000000
p06a,14593588.000000,15045.000000,28898081.000000
p06a,13073724.000000,15045.000000,19270485.000000
p06a,10342889.000000,15045.000000,28210278.000000
p07a,9734865.000000,15045.000000,99045205.000000
p07a,7575496.000000,15045.000000,99672493.000000
p07a,9743773.000000,15045.000000,104898543.000000
p07a,1264032.000000,15045.000000,102139641.000000
p07a,1597975.000000,15045.000000,108329029.000000
p07a,3702690.000000,15045.000000,72170155.000000
p07a,8590745.000000,15045.000000,77305445.000000
p07a,4261217.000000,15045.000000,112173984.000000
p07a,13492462.000000,15045.000000,114442567.000000
p07a,9138216.000000,15045.000000,93465649.000000
p04a,13021320.000000,15045.000000,30568328.000000
p04a,44286499.000000,15045.000000,84401911.000000
p04a,10400162.000000,15045.000000,109688389.000000
p04a,25091940.000000,15045.000000,101145213.000000
p04a,42640207.000000,15045.000000,90325100.000000
p04a,23257007.000000,15045.000000,110263359.000000
p04a,24832052.000000,15045.000000,109822901.000000
p04a,19664001.000000,15045.000000,95811009.000000
p04a,100786155.000000,15045.000000,37125310.000000
p04a,14144808.000000,15045.000000,113943225.000000
p10a,9187552.000000,15045.000000,71446072.000000
p10a,2769441.000000,15045.000000,66584914.000000
p10a,4750250.000000,15045.000000,57695155.000000
p10a,2585044.000000,15045.000000,76907023.000000
p10a,10778964.000000,15045.000000,77290918.000000
p10a,2805395.000000,15045.000000,70014043.000000
p10a,2120697.000000,15045.000000,73015439.000000
p10a,1415325.000000,15045.000000,59450797.000000
p10a,11216169.000000,15045.000000,62304354.000000
p10a,2223315.000000,15045.000000,76143339.000000
p05a,16622144.000000,15045.000000,17550879.000000
p05a,11854774.000000,15045.000000,22729718.000000
p05a,31908424.000000,15045.000000,24286308.000000
p05a,6416027.000000,15045.000000,33939373.000000
p05a,10844606.000000,15045.000000,39556351.000000
p05a,17940269.000000,15045.000000,35393781.000000
p05a,20098081.000000,15045.000000,34691887.000000
p05a,5871184.000000,15045.000000,39297753.000000
p05a,13111083.000000,15045.000000,22069777.000000
p05a,12744834.000000,15045.000000,22434183.000000
p08a,10624824.000000,15045.000000,11253514.000000
p08a,19043582.000000,15045.000000,10323380.000000
p08a,17393661.000000,15045.000000,26990241.000000
p08a,14564693.000000,15045.000000,15526327.000000
p08a,15959627.000000,15045.000000,23966938.000000
p08a,15205041.000000,15045.000000,22789612.000000
p08a,14855164.000000,15045.000000,28228167.000000
p08a,13267397.000000,15045.000000,23143815.000000
p08a,17995137.000000,15045.000000,20017462.000000
p08a,6621466.000000,15045.000000,30901622.000000
