peer_name,lookup_time,message_size,peer_cycle_time
p03a,12261000.000000,22155630.000000,1000525838.000000
p03a,21663169.000000,22155630.000000,992199560.000000
p03a,24030694.000000,22155630.000000,942150879.000000
p03a,26764507.000000,22155630.000000,969060876.000000
p03a,19796725.000000,22155630.000000,1029697187.000000
p03a,19271234.000000,22155630.000000,1173549011.000000
p03a,26290556.000000,22155630.000000,1201362731.000000
p03a,5492772.000000,22155630.000000,1470152242.000000
p03a,26642911.000000,22155630.000000,1514470291.000000
p03a,7897032.000000,22155630.000000,1509531488.000000
p09a,44502648.000000,22155630.000000,4661460065.000000
p09a,63119673.000000,22155630.000000,4620408452.000000
p09a,61253588.000000,22155630.000000,5032725127.000000
p06a,94126560.000000,22155630.000000,4361768818.000000
p09a,71104640.000000,22155630.000000,5492009017.000000
p06a,85994749.000000,22155630.000000,5715051606.000000
p09a,236032230.000000,22155630.000000,5974144476.000000
p08a,149597787.000000,22155630.000000,4776387360.000000
p07a,108385519.000000,22155630.000000,6291002064.000000
p07a,145539739.000000,22155630.000000,4823307891.000000
p09a,58053063.000000,22155630.000000,6150775807.000000
p05a,130813606.000000,22155630.000000,5047432787.000000
p05a,133919876.000000,22155630.000000,5313969411.000000
p10a,204625290.000000,22155630.000000,4850715992.000000
p06a,22879867.000000,22155630.000000,6280706933.000000
p09a,53371310.000000,22155630.000000,6366319973.000000
p02a,37529254.000000,22155630.000000,5647234327.000000
p01a,27035895.000000,22155630.000000,5361073863.000000
p02a,40346996.000000,22155630.000000,5229477074.000000
p01a,79885870.000000,22155630.000000,5359746650.000000
p10a,51125335.000000,22155630.000000,5065691927.000000
p08a,120532059.000000,22155630.000000,5209288165.000000
p01a,29096903.000000,22155630.000000,5434048418.000000
p08a,189883572.000000,22155630.000000,4212406870.000000
p08a,161275915.000000,22155630.000000,6379133442.000000
p02a,1097381739.000000,22155630.000000,3683447182.000000
p01a,24742490.000000,22155630.000000,5549989605.000000
p04a,150654089.000000,22155630.000000,3318931374.000000
p07a,16237905.000000,22155630.000000,4866433367.000000
p01a,24403727.000000,22155630.000000,5296406355.000000
p06a,86405619.000000,22155630.000000,6088559998.000000
p07a,28899719.000000,22155630.000000,6426061080.000000
p10a,178958901.000000,22155630.000000,5565396417.000000
p10a,183090606.000000,22155630.000000,5550785403.000000
p06a,83165669.000000,22155630.000000,6135227363.000000
p05a,51982297.000000,22155630.000000,5260413983.000000
p08a,161110961.000000,22155630.000000,5883730831.000000
p04a,35914414.000000,22155630.000000,4410449957.000000
p08a,100267206.000000,22155630.000000,6466671134.000000
p10a,95960974.000000,22155630.000000,4867140634.000000
p10a,76770099.000000,22155630.000000,6108430517.000000
p02a,474898051.000000,22155630.000000,5360755232.000000
p01a,24912821.000000,22155630.000000,5258092584.000000
p02a,25436894.000000,22155630.000000,5462413410.000000
p06a,79879303.000000,22155630.000000,6356569483.000000
p04a,30172794.000000,22155630.000000,4555690636.000000
p07a,158796389.000000,22155630.000000,5509948534.000000
p05a,156191083.000000,22155630.000000,4909423537.000000
p05a,77818966.000000,22155630.000000,6360418308.000000
p06a,92348493.000000,22155630.000000,6938591732.000000
p02a,166092835.000000,22155630.000000,6307783108.000000
p04a,81231245.000000,22155630.000000,4406026189.000000
p01a,327796706.000000,22155630.000000,5534858732.000000
p08a,100684479.000000,22155630.000000,6079199258.000000
p05a,52616883.000000,22155630.000000,5487125357.000000
p02a,254023099.000000,22155630.000000,6138736467.000000
p10a,76171852.000000,22155630.000000,5883986993.000000
p01a,24200883.000000,22155630.000000,5929331812.000000
p07a,119423242.000000,22155630.000000,6173378727.000000
p09a,134462868.000000,22155630.000000,6907604459.000000
p04a,73587236.000000,22155630.000000,3891531500.000000
p05a,169997548.000000,22155630.000000,4781264986.000000
p04a,89551861.000000,22155630.000000,4704777004.000000
p07a,15521644.000000,22155630.000000,6342969838.000000
p10a,179651833.000000,22155630.000000,5760484176.000000
p06a,25581998.000000,22155630.000000,6569964488.000000
p04a,122314246.000000,22155630.000000,4440575224.000000
p05a,40599428.000000,22155630.000000,5987589368.000000
p08a,165274253.000000,22155630.000000,6572104012.000000
p04a,80369552.000000,22155630.000000,4024606486.000000
p06a,93362345.000000,22155630.000000,7448592148.000000
p02a,276772467.000000,22155630.000000,5631658672.000000
p07a,10601782.000000,22155630.000000,5696008540.000000
p02a,168777645.000000,22155630.000000,6378820116.000000
p08a,163977866.000000,22155630.000000,6455771978.000000
p07a,132303378.000000,22155630.000000,5701722710.000000
p09a,56657496.000000,22155630.000000,7087554352.000000
p06a,77820124.000000,22155630.000000,6346288308.000000
p01a,35754080.000000,22155630.000000,6310447117.000000
p01a,38473756.000000,22155630.000000,6282992149.000000
p10a,69989620.000000,22155630.000000,6053432966.000000
p04a,69601341.000000,22155630.000000,3973502012.000000
p04a,6140597.000000,22155630.000000,5858713968.000000
p05a,85982772.000000,22155630.000000,5909532531.000000
p07a,143890498.000000,22155630.000000,6790608979.000000
p09a,80809796.000000,22155630.000000,7381504570.000000
p08a,101576479.000000,22155630.000000,6253971314.000000
p05a,134870915.000000,22155630.000000,6315701913.000000
p02a,985574804.000000,22155630.000000,4816509148.000000
p10a,90426852.000000,22155630.000000,6116001772.000000
